City_ID,City,Country,Description,Max Temp,Lat,Lng,Hotel Name
266,Ashqelon,IL,overcast clouds,64.4,31.6693,34.5715,Leonardo Ashkelon
267,Buta,CD,overcast clouds,67.48,2.7858,24.73,HOTEL BISO NA BISO
269,Sao Joao Da Barra,BR,clear sky,72.16,-21.6403,-41.0511,Pousada Porto De Canoas
270,Kalabo,ZM,overcast clouds,71.33,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
274,Hoopstad,ZA,clear sky,61.32,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
277,Vila Franca Do Campo,PT,overcast clouds,68.2,37.7167,-25.4333,Pestana Bahia Praia
282,Jiangkou,CN,clear sky,57.74,25.4872,119.1986,DFM Hotel
283,Guerrero Negro,MX,overcast clouds,66.43,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
289,Bentiu,SS,scattered clouds,72.1,9.2333,29.8333,Mandela hôtel
292,El Retorno,CO,overcast clouds,72.75,2.3302,-72.6276,Hostal la posada de Rita
293,Puerto Baquerizo Moreno,EC,few clouds,69.31,-0.9,-89.6,Hotel los Algarrobos
295,Gat,IL,overcast clouds,63.39,31.61,34.7642,OlusHome
298,Subtanjalla,PE,overcast clouds,59.54,-14.0189,-75.7581,Hotel Las Dunas
299,Nyangao,TZ,overcast clouds,69.46,-10.3333,39.2833,MLIMANI LODGE & STATIONERY
302,Chaiyaphum,TH,overcast clouds,68.45,15.75,102.0,โรงแรมรีสอร์ทพักใจ ชัยภูมิ
303,Grand Gaube,MU,few clouds,72.37,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
305,Lebowakgomo,ZA,clear sky,60.89,-24.2,29.5,Chuene Resort
312,Ibipeba,BR,overcast clouds,72.54,-11.6408,-42.0111,Quitanda santos
315,San Cristobal,VE,broken clouds,69.98,7.7669,-72.225,Posada Villaven C.A.
318,Estelle,US,clear sky,57.2,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
327,Moroto,UG,few clouds,68.9,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
328,San Vicente,AR,overcast clouds,71.28,-26.6167,-54.1333,Complejo Turístico Farelluk
331,Tomatlan,MX,few clouds,73.44,19.9333,-105.25,El Salvial
332,Extrema,BR,clear sky,69.62,-22.8547,-46.3183,Pousada Céu da Mantiqueira
337,Bhadra,IN,clear sky,62.83,29.1167,75.1667,Hotel Ganpati
340,Sibsagar,IN,broken clouds,61.0,26.9833,94.6333,Hotel Brahmaputra
347,Akyab,MM,clear sky,74.35,20.15,92.9,Hotel Memory
