City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
252,Yanam,IN,16.7333,82.2167,76.57,89,78,4.88,broken clouds
253,Malampaka,TZ,-3.1333,33.5333,70.41,64,99,1.99,overcast clouds
254,Xuddur,SO,4.1213,43.8894,69.94,65,97,8.1,overcast clouds
255,Hay River,CA,60.8156,-115.7999,-1.88,93,100,4.56,overcast clouds
256,Vanavara,RU,60.34,102.2797,13.35,95,96,6.15,overcast clouds
257,Kiruna,SE,67.8557,20.2251,22.12,93,40,9.22,light snow
258,Bagdarin,RU,54.4333,113.6,-7.96,92,85,2.24,overcast clouds
259,Kotma,IN,23.2,81.9667,56.89,54,0,1.54,clear sky
260,Qui Nhon,VN,13.7667,109.2333,77.54,87,98,20.04,overcast clouds
261,Sao Marcos,BR,-28.9711,-51.0681,57.34,91,0,3.51,clear sky
262,Zhangye,CN,38.9342,100.4517,31.71,20,0,7.94,clear sky
263,Hayden,US,47.766,-116.7866,34.97,94,90,6.91,snow
264,Santa Catalina,PH,9.3337,122.8637,82.51,77,99,9.4,overcast clouds
265,Bokoro,TD,12.3807,17.0568,78.31,19,83,10.63,broken clouds
266,Ashqelon,IL,31.6693,34.5715,64.4,69,100,5.08,overcast clouds
267,Buta,CD,2.7858,24.73,67.48,79,94,2.51,overcast clouds
268,Baghdad,IQ,33.3406,44.4009,51.71,71,0,5.75,clear sky
269,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.16,88,5,7.92,clear sky
270,Kalabo,ZM,-14.97,22.6814,71.33,60,100,5.39,overcast clouds
271,Yumen,CN,40.2833,97.2,28.29,25,0,7.27,clear sky
272,Stornoway,GB,58.2093,-6.3865,45.93,93,75,8.99,drizzle
273,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,8.05,few clouds
274,Hoopstad,ZA,-27.8327,25.9083,61.32,49,8,7.34,clear sky
275,Vardo,NO,70.3705,31.1107,27.12,89,100,11.3,light snow
276,Ust-Uda,RU,54.1742,103.0304,7.84,100,88,2.75,overcast clouds
277,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,90,100,17.0,overcast clouds
278,Kaya,BF,13.0917,-1.0844,78.37,17,0,8.3,clear sky
279,Xining,CN,36.6167,101.7667,27.61,29,0,2.26,clear sky
280,Energeticheskiy,KZ,43.4278,77.0222,32.56,80,10,4.47,mist
281,Slave Lake,CA,55.2834,-114.769,8.58,72,90,10.36,light snow
282,Jiangkou,CN,25.4872,119.1986,57.74,66,0,10.11,clear sky
283,Guerrero Negro,MX,27.9769,-114.0611,66.43,74,100,14.41,overcast clouds
284,Santa Cruz,BO,-17.8,-63.1667,82.0,65,100,6.55,overcast clouds
285,Milicz,PL,51.5277,17.2714,41.13,88,100,7.7,light rain
286,Banda Aceh,ID,5.5577,95.3222,81.0,79,99,3.02,overcast clouds
287,Aktash,RU,50.3,87.7333,13.32,89,100,3.02,overcast clouds
288,Puri,IN,19.8,85.85,79.38,78,6,5.44,clear sky
289,Bentiu,SS,9.2333,29.8333,72.1,31,38,5.08,scattered clouds
290,Ilam,NP,26.9167,87.9167,52.61,86,4,4.32,clear sky
291,Yevlax,AZ,40.6089,47.1492,54.1,45,8,12.77,clear sky
292,El Retorno,CO,2.3302,-72.6276,72.75,98,100,0.78,overcast clouds
293,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.31,79,17,9.4,few clouds
294,Santa Rosa,PH,14.3122,121.1114,85.1,75,95,13.98,overcast clouds
295,Gat,IL,31.61,34.7642,63.39,65,100,4.43,overcast clouds
296,Kajaani,FI,64.2273,27.7285,26.65,93,90,8.05,snow
297,Pervomayskiy,RU,53.2485,40.2871,15.98,89,5,4.45,clear sky
298,Subtanjalla,PE,-14.0189,-75.7581,59.54,66,100,3.83,overcast clouds
299,Nyangao,TZ,-10.3333,39.2833,69.46,98,98,3.22,overcast clouds
300,Kwinana,AU,-32.25,115.7667,76.17,54,0,3.51,clear sky
301,Mitsamiouli,KM,-11.3847,43.2844,79.3,77,7,11.34,clear sky
302,Chaiyaphum,TH,15.75,102.0,68.45,73,99,14.36,overcast clouds
303,Grand Gaube,MU,-20.0064,57.6608,72.37,83,22,10.89,few clouds
304,Kinarut,MY,5.8231,116.0466,84.22,74,20,2.3,few clouds
305,Lebowakgomo,ZA,-24.2,29.5,60.89,67,0,5.97,clear sky
306,Salalah,OM,17.0151,54.0924,82.49,28,0,8.05,clear sky
307,Bow Island,CA,49.8668,-111.3684,29.48,55,100,15.28,overcast clouds
308,Guilin,CN,25.2819,110.2864,52.03,60,100,3.78,overcast clouds
309,San Pedro,PH,14.35,121.0167,84.34,75,92,14.47,overcast clouds
310,Gamba,GA,-2.65,10.0,74.62,90,98,2.75,overcast clouds
311,Manicore,BR,-5.8092,-61.3003,77.94,80,81,2.68,broken clouds
312,Ibipeba,BR,-11.6408,-42.0111,72.54,86,100,0.78,overcast clouds
313,Ituiutaba,BR,-18.9689,-49.465,82.04,45,92,2.19,overcast clouds
314,Iralaya,HN,15.0,-83.2333,76.35,87,81,9.17,broken clouds
315,San Cristobal,VE,7.7669,-72.225,69.98,95,77,1.59,broken clouds
316,Poroshkovo,UA,48.6683,22.7533,38.01,87,43,2.26,scattered clouds
317,Edd,ER,13.9297,41.6925,79.03,79,28,2.91,scattered clouds
318,Estelle,US,29.8458,-90.1067,57.2,63,1,4.61,clear sky
319,La Ronge,CA,55.1001,-105.2842,8.29,89,100,13.85,overcast clouds
320,Dauphin,CA,51.1494,-100.0502,27.19,94,100,4.52,overcast clouds
321,Harnosand,SE,62.6323,17.9379,42.01,64,15,22.32,few clouds
322,Rincon,US,32.296,-81.2354,44.85,81,20,0.0,few clouds
323,Houma,US,29.5958,-90.7195,55.0,66,1,3.44,clear sky
324,Tazovskiy,RU,67.4667,78.7,7.65,94,98,11.34,overcast clouds
325,Talnakh,RU,69.4865,88.3972,10.33,92,100,10.54,overcast clouds
326,Tuy Hoa,VN,13.0833,109.3,76.89,90,99,15.3,overcast clouds
327,Moroto,UG,2.5345,34.6666,68.9,53,20,2.17,few clouds
328,San Vicente,AR,-26.6167,-54.1333,71.28,60,87,3.36,overcast clouds
329,Port-Cartier,CA,50.0334,-66.8654,27.75,61,100,15.3,overcast clouds
330,Bosanska Gradiska,BA,45.1411,17.25,39.45,88,6,0.87,clear sky
331,Tomatlan,MX,19.9333,-105.25,73.44,89,18,2.3,few clouds
332,Extrema,BR,-22.8547,-46.3183,69.62,60,7,3.83,clear sky
333,Zapolyarnyy,RU,69.4154,30.8136,15.08,82,100,2.89,overcast clouds
334,Mogadishu,SO,2.0371,45.3438,79.2,78,91,8.66,overcast clouds
335,Guspini,IT,39.5406,8.6294,50.72,88,13,3.85,few clouds
336,Muros,ES,42.7762,-9.0603,52.84,72,9,15.03,clear sky
337,Bhadra,IN,29.1167,75.1667,62.83,19,0,6.85,clear sky
338,Norman Wells,CA,65.282,-126.8329,-15.11,99,99,2.86,overcast clouds
339,Risalpur,PK,34.0619,71.9917,50.58,25,1,1.43,clear sky
340,Sibsagar,IN,26.9833,94.6333,61.0,88,54,1.86,broken clouds
341,De Aar,ZA,-30.6497,24.0123,54.0,63,12,14.5,few clouds
342,Bandarbeyla,SO,9.4942,50.8122,81.66,54,100,14.72,overcast clouds
343,Svetlogorsk,BY,52.6333,29.7333,32.18,70,100,6.38,overcast clouds
344,Stromness,GB,58.965,-3.296,48.87,85,100,21.0,overcast clouds
